region,province,latitude,longitude
Colombo,Western,6.9271,79.8612
Gampaha,Western,7.0873,80.0144
Kalutara,Western,6.5854,79.9607
Kandy,Central,7.2906,80.6337
Matale,Central,7.4675,80.6234
Nuwara Eliya,Central,6.9497,80.7891
Galle,Southern,6.0535,80.2210
Hambantota,Southern,6.1241,81.1185
Matara,Southern,5.9549,80.5550
Jaffna,Northern,9.6615,80.0255
Kilinochchi,Northern,9.3803,80.3770
Mannar,Northern,8.9810,79.9044
Vavuniya,Northern,8.7514,80.4997
Mullaitivu,Northern,9.2671,80.8142
Batticaloa,Eastern,7.7170,81.7000
Ampara,Eastern,7.2912,81.6724
Trincomalee,Eastern,8.5874,81.2152
Kurunegala,North Western,7.4863,80.3647
Puttalam,North Western,8.0362,79.8283
Anuradhapura,North Central,8.3114,80.4037
Polonnaruwa,North Central,7.9403,81.0188
Badulla,Uva,6.9934,81.0550
Monaragala,Uva,6.8728,81.3507
Ratnapura,Sabaragamuwa,6.7056,80.3847
Kegalle,Sabaragamuwa,7.2513,80.3464
Kalmunai,Eastern,7.4167,81.8167
